Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
U	0	unclassified	3	3	  0.00
R	1	root	0	200304	100.00
D	3	  Bacteria	136	200304	100.00
P	2375	    Proteobacteria	12	82075	 40.97
C	3303	      Gammaproteobacteria	71	79067	 39.47
O	46187	        Burkholderiales	818	74721	 37.30
F	46259	          Comamonadaceae	7697	60572	 30.24
G	46269	            Comamonas	8555	8555	  4.27
G	46283	            Limnohabitans	7235	7235	  3.61
G	46298	            Rhodoferax	6180	6180	  3.09
G	46260	            Acidovorax	5718	5718	  2.85
G	46272	            Delftia	3712	3712	  1.85
G	46309	            Variovorax	3219	3219	  1.61
G	46262	            Aquabacterium	2716	2716	  1.36
G	46292	            Polaromonas	2480	2480	  1.24
G	46315	            uncultured	1920	1920	  0.96
G	46276	            Hydrogenophaga	1844	1844	  0.92
G	46273	            Diaphorobacter	1006	1006	  0.50
G	46297	            Rhizobacter	957	957	  0.48
G	46290	            Pelomonas	904	904	  0.45
G	46296	            Ramlibacter	798	798	  0.40
G	46266	            Caenimonas	786	786	  0.39
G	46294	            Pseudorhodoferax	674	674	  0.34
G	46303	            Simplicispira	531	531	  0.27
G	46265	            Brachymonas	515	515	  0.26
G	46304	            Sphaerotilus	433	433	  0.22
G	46293	            Pseudacidovorax	341	341	  0.17
G	46310	            Verminephrobacter	327	327	  0.16
G	46268	            Candidatus Symbiobacter	312	312	  0.16
G	46271	            Curvibacter	289	289	  0.14
G	46282	            Leptothrix	276	276	  0.14
G	46278	            Ideonella	176	176	  0.09
G	46312	            Xylophilus	175	175	  0.09
G	46288	            Ottowia	162	162	  0.08
G	46287	            Mitsuaria	144	144	  0.07
G	46261	            Alicycliphilus	57	57	  0.03
G	46285	            Malikia	55	55	  0.03
G	46289	            Paucibacter	53	53	  0.03
G	46295	            RS62 marine group	46	46	  0.02
G	46279	            Inhella	32	32	  0.02
G	46307	            Thiomonas	30	30	  0.01
G	46311	            Xenophilus	28	28	  0.01
G	46301	            Rubrivivax	25	25	  0.01
G	46299	            Rivibacter	24	24	  0.01
G	46281	            Lampropedia	21	21	  0.01
G	46274	            Extensimonas	20	20	  0.01
G	46300	            Roseateles	16	16	  0.01
G	46306	            Tepidimonas	14	14	  0.01
G	46286	            Methylibium	12	12	  0.01
G	46284	            Macromonas	12	12	  0.01
G	46277	            Hylemonella	11	11	  0.01
G	46275	            Giesbergeria	9	9	  0.00
G	46313	            Zhizhongheella	6	6	  0.00
G	46308	            Tibeticola	4	4	  0.00
G	46302	            Schlegelella	3	3	  0.00
G	46264	            Azohydromonas	3	3	  0.00
G	46291	            Piscinibacter	3	3	  0.00
G	46305	            Tepidicella	2	2	  0.00
G	46267	            Caldimonas	2	2	  0.00
G	46314	            [Polyangium] brachysporum group	1	1	  0.00
G	46280	            Kinneretia	1	1	  0.00
F	46375	          Oxalobacteraceae	263	4691	  2.34
G	46388	            Massilia	2765	2765	  1.38
G	46387	            Janthinobacterium	344	344	  0.17
G	46397	            Undibacterium	285	285	  0.14
G	46385	            Herbaspirillum	232	232	  0.12
G	46383	            Duganella	206	206	  0.10
G	46400	            uncultured	187	187	  0.09
G	46389	            Noviherbaspirillum	136	136	  0.07
G	46386	            Herminiimonas	93	93	  0.05
G	46382	            Collimonas	64	64	  0.03
G	46391	            Oxalobacter	27	27	  0.01
G	46394	            Pseudoduganella	14	14	  0.01
G	46390	            Oxalicibacterium	13	13	  0.01
G	46398	            [Aquaspirillum] arcticum group	8	8	  0.00
G	46392	            Paraherbaspirillum	8	8	  0.00
G	46399	            s3t2d-1089	7	7	  0.00
G	46380	            Candidatus Vidania	7	7	  0.00
G	46376	            Actimicrobium	6	6	  0.00
G	46377	            CM1G08	6	6	  0.00
G	46395	            Rugamonas	6	6	  0.00
G	46381	            Candidatus Zinderia	6	6	  0.00
G	46384	            Glaciimonas	5	5	  0.00
G	46393	            Paucimonas	1	1	  0.00
G	46396	            Telluria	1	1	  0.00
G	46378	            Candidatus Nasuia	1	1	  0.00
F	46220	          Burkholderiaceae	83	3494	  1.74
G	46229	            Polynucleobacter	2306	2306	  1.15
G	46221	            Burkholderia-Caballeronia-Paraburkholderia	678	678	  0.34
G	46224	            Cupriavidus	211	211	  0.11
G	46230	            Ralstonia	125	125	  0.06
G	46225	            Lautropia	39	39	  0.02
G	46226	            Limnobacter	31	31	  0.02
G	46228	            Pandoraea	11	11	  0.01
G	46223	            Candidatus Tremblaya	4	4	  0.00
G	46232	            uncultured	4	4	  0.00
G	46222	            Candidatus Glomeribacter	2	2	  0.00
F	46189	          Alcaligenaceae	92	1548	  0.77
G	46190	            Achromobacter	876	876	  0.44
G	46192	            Alcaligenes	235	235	  0.12
G	46200	            GKS98 freshwater group	102	102	  0.05
G	46212	            Verticiella	51	51	  0.03
G	46194	            Bordetella	49	49	  0.02
G	46207	            Parvibium	19	19	  0.01
G	46206	            Parapusillimonas	19	19	  0.01
G	46202	            Oligella	17	17	  0.01
G	46203	            Orrella	13	13	  0.01
G	46196	            Candidimonas	12	12	  0.01
G	46201	            Kerstersia	11	11	  0.01
G	46210	            Pusillimonas	10	10	  0.00
G	46191	            Advenella	8	8	  0.00
G	46204	            Paenalcaligenes	7	7	  0.00
G	46197	            Castellaniella	7	7	  0.00
G	46199	            Eoetvoesia	5	5	  0.00
G	46213	            uncultured	5	5	  0.00
G	46209	            Pigmentiphaga	3	3	  0.00
G	46195	            Candidatus Kinetoplastibacterium	3	3	  0.00
G	46208	            Pelistega	2	2	  0.00
G	46198	            Derxia	1	1	  0.00
G	46211	            Taylorella	1	1	  0.00
F	46337	          Methylophilaceae	139	1511	  0.75
G	46343	            Methylotenera	538	538	  0.27
G	46347	            uncultured	330	330	  0.16
G	46342	            Methylophilus	263	263	  0.13
G	46345	            OM43 clade	114	114	  0.06
G	46341	            Methylobacillus	70	70	  0.03
G	46346	            UBA6140	30	30	  0.01
G	46338	            Candidatus Methylopumilus	10	10	  0.00
G	46340	            MM2	10	10	  0.00
G	46344	            Methylovorus	6	6	  0.00
G	46339	            MM1	1	1	  0.00
F	46403	          Rhodocyclaceae	47	921	  0.46
G	46411	            Dechloromonas	183	183	  0.09
G	46424	            Sulfuritalea	152	152	  0.08
G	46429	            uncultured	87	87	  0.04
G	46428	            Zoogloea	81	81	  0.04
G	46413	            Denitratisoma	78	78	  0.04
G	46425	            Thauera	74	74	  0.04
G	46409	            Candidatus Accumulibacter	55	55	  0.03
G	46422	            Sterolibacterium	43	43	  0.02
G	46426	            Uliginosibacterium	34	34	  0.02
G	46419	            Propionivibrio	16	16	  0.01
G	46405	            Azonexus	13	13	  0.01
G	46406	            Azospira	10	10	  0.00
G	46404	            Azoarcus	10	10	  0.00
G	46417	            Methyloversatilis	7	7	  0.00
G	46410	            Dechlorobacter	6	6	  0.00
G	46414	            Denitromonas	5	5	  0.00
G	46408	            C39	5	5	  0.00
G	46407	            Azovibrio	4	4	  0.00
G	46415	            Ferribacterium	3	3	  0.00
G	46416	            Georgfuchsia	2	2	  0.00
G	46412	            Dechlorosoma	2	2	  0.00
G	46427	            Z-35	2	2	  0.00
G	46421	            Rhodocyclus	1	1	  0.00
G	46423	            Sulfurisoma	1	1	  0.00
F	46361	          Nitrosomonadaceae	3	228	  0.11
G	46367	            MND1	68	68	  0.03
G	46364	            Ellin6067	51	51	  0.03
G	46368	            Nitrosomonas	46	46	  0.02
G	46366	            IS-44	17	17	  0.01
G	46369	            Nitrosospira	13	13	  0.01
G	46365	            GOUTA6	11	11	  0.01
G	46363	            DSSD61	5	5	  0.00
G	46362	            966-1	3	3	  0.00
G	46370	            P3OB-51	3	3	  0.00
G	46372	            mle1-7	3	3	  0.00
G	46373	            oc32	3	3	  0.00
G	46374	            uncultured	2	2	  0.00
F	46319	          Gallionellaceae	5	167	  0.08
G	46322	            Gallionella	79	79	  0.04
G	46323	            Sideroxydans	55	55	  0.03
G	46324	            uncultured	15	15	  0.01
G	46320	            Candidatus Nitrotoga	13	13	  0.01
F	46348	          Neisseriaceae	1	142	  0.07
G	46354	            Neisseria	77	77	  0.04
G	46360	            uncultured	43	43	  0.02
G	46355	            Simonsiella	5	5	  0.00
G	46356	            Snodgrassella	5	5	  0.00
G	46353	            Kingella	4	4	  0.00
G	46352	            Eikenella	3	3	  0.00
G	46349	            Alysiella	2	2	  0.00
G	46359	            Vitreoscilla	2	2	  0.00
F	46431	          Sulfuricellaceae	0	117	  0.06
G	46433	            Sulfuricella	57	57	  0.03
G	46432	            Ferritrophicum	54	54	  0.03
G	46434	            Sulfuriferula	6	6	  0.00
F	46325	          Hydrogenophilaceae	1	86	  0.04
G	46331	            Thiobacillus	48	48	  0.02
G	46333	            uncultured	29	29	  0.01
G	46327	            Hydrogenophilus	5	5	  0.00
G	46328	            Spirillum	1	1	  0.00
G	46329	            Sulfuritortus	1	1	  0.00
G	46330	            Tepidiphilus	1	1	  0.00
F	46442	          TRA3-20	76	76	  0.04
F	46430	          SC-I-84	69	69	  0.03
F	46214	          Aquaspirillaceae	0	61	  0.03
G	46218	            Rivicola	59	59	  0.03
G	46215	            Aquaspirillum	1	1	  0.00
G	46217	            Microvirgula	1	1	  0.00
F	46251	          Chromobacteriaceae	0	54	  0.03
G	46258	            Vogesella	39	39	  0.02
G	46253	            Chromobacterium	12	12	  0.01
G	46256	            Paludibacterium	2	2	  0.00
G	46255	            Gulbenkiania	1	1	  0.00
F	46436	          Sutterellaceae	0	52	  0.03
G	46438	            Parasutterella	17	17	  0.01
G	46439	            Sutterella	13	13	  0.01
G	46437	            AAP99	11	11	  0.01
G	46440	            uncultured	11	11	  0.01
F	46237	          Chitinibacteraceae	2	38	  0.02
G	46243	            Deefgea	26	26	  0.01
G	46238	            Amantichitinum	4	4	  0.00
G	46244	            Formivibrio	3	3	  0.00
G	46245	            Iodobacter	2	2	  0.00
G	46240	            Chitinibacter	1	1	  0.00
F	46248	          Chitinimonadaceae	0	16	  0.01
G	46249	            Chitinimonas	9	9	  0.00
G	46250	            Chitinivorax	7	7	  0.00
F	46441	          T34	13	13	  0.01
F	46219	          B1-7BS	12	12	  0.01
F	46336	          MWH-UniP1 aquatic group	11	11	  0.01
F	46317	          Ferrovaceae	0	8	  0.00
G	46318	            Ferrovum	8	8	  0.00
F	46188	          A21b	8	8	  0.00
F	46316	          EC94	3	3	  0.00
F	46401	          Procabacteriaceae	0	3	  0.00
G	46402	            Procabacter	3	3	  0.00
