Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
U	0	unclassified	177	177	  0.02
R	1	root	0	848334	 99.98
D	3	  Bacteria	387	848331	 99.98
P	43868	    Bacteroidota	5	425249	 50.12
C	43869	      Bacteroidia	536	425036	 50.09
O	44057	        Cytophagales	457	347121	 40.91
F	44135	          Spirosomaceae	1236	345367	 40.70
G	44150	            Pseudarcicella	342469	342469	 40.36
G	44142	            Flectobacillus	669	669	  0.08
G	44138	            Dyadobacter	296	296	  0.03
G	44136	            Arcicella	280	280	  0.03
G	44145	            Lacihabitans	159	159	  0.02
G	44156	            uncultured	75	75	  0.01
G	44153	            Runella	55	55	  0.01
G	44154	            Spirosoma	30	30	  0.00
G	44140	            Fibrella	22	22	  0.00
G	44146	            Larkinella	14	14	  0.00
G	44147	            Leadbetterella	14	14	  0.00
G	44139	            Emticicia	14	14	  0.00
G	44151	            Rhabdobacter	9	9	  0.00
G	44144	            Huanghella	7	7	  0.00
G	44155	            Taeseokella	6	6	  0.00
G	44152	            Rudanella	5	5	  0.00
G	44149	            Persicitalea	4	4	  0.00
G	44143	            Fluviimonas	3	3	  0.00
F	44068	          Cyclobacteriaceae	64	583	  0.07
G	44069	            Algoriphagus	176	176	  0.02
G	44098	            uncultured	168	168	  0.02
G	44076	            Cyclobacterium	86	86	  0.01
G	44077	            Echinicola	15	15	  0.00
G	44071	            Aquiflexum	14	14	  0.00
G	44097	            Tunicatimonas	8	8	  0.00
G	44079	            Fabibacter	7	7	  0.00
G	44092	            Nitritalea	7	7	  0.00
G	44082	            Imperialibacter	7	7	  0.00
G	44087	            Marinoscillum	7	7	  0.00
G	44078	            Ekhidna	6	6	  0.00
G	44081	            Fulvivirga	4	4	  0.00
G	44086	            Mariniradius	4	4	  0.00
G	44073	            Catalinimonas	3	3	  0.00
G	44094	            Reichenbachiella	3	3	  0.00
G	50023	            Rhodonellum	2	2	  0.00
G	44080	            Fontibacter	1	1	  0.00
G	44095	            Roseivirga	1	1	  0.00
