Taxon_ID	Taxon_Name	Taxonomic_Level	Total_Reads	Abundance_Percentage
U	0	unclassified	7	7	  0.01
R	1	root	0	80293	 99.99
D	3	  Bacteria	20	80293	 99.99
P	2375	    Proteobacteria	2	42081	 52.40
C	3303	      Gammaproteobacteria	14	37260	 46.40
O	46187	        Burkholderiales	237	34811	 43.35
F	46259	          Comamonadaceae	3429	29907	 37.24
G	46283	            Limnohabitans	5380	5380	  6.70
G	46269	            Comamonas	4312	4312	  5.37
G	46298	            Rhodoferax	2450	2450	  3.05
G	46260	            Acidovorax	2209	2209	  2.75
G	46272	            Delftia	1851	1851	  2.31
G	46309	            Variovorax	1435	1435	  1.79
G	46262	            Aquabacterium	1404	1404	  1.75
G	46315	            uncultured	1119	1119	  1.39
G	46292	            Polaromonas	689	689	  0.86
G	46276	            Hydrogenophaga	667	667	  0.83
G	46290	            Pelomonas	582	582	  0.72
G	46266	            Caenimonas	479	479	  0.60
G	46294	            Pseudorhodoferax	431	431	  0.54
G	46296	            Ramlibacter	430	430	  0.54
G	46273	            Diaphorobacter	408	408	  0.51
G	46304	            Sphaerotilus	333	333	  0.41
G	46297	            Rhizobacter	315	315	  0.39
G	46265	            Brachymonas	314	314	  0.39
G	46303	            Simplicispira	297	297	  0.37
G	46268	            Candidatus Symbiobacter	225	225	  0.28
G	46310	            Verminephrobacter	183	183	  0.23
G	46271	            Curvibacter	163	163	  0.20
G	46282	            Leptothrix	125	125	  0.16
G	46288	            Ottowia	112	112	  0.14
G	46293	            Pseudacidovorax	111	111	  0.14
G	46287	            Mitsuaria	97	97	  0.12
G	46278	            Ideonella	97	97	  0.12
G	46289	            Paucibacter	35	35	  0.04
G	46281	            Lampropedia	32	32	  0.04
G	46312	            Xylophilus	29	29	  0.04
G	46279	            Inhella	22	22	  0.03
G	46285	            Malikia	19	19	  0.02
G	46261	            Alicycliphilus	18	18	  0.02
G	46299	            Rivibacter	13	13	  0.02
G	46311	            Xenophilus	13	13	  0.02
G	46300	            Roseateles	12	12	  0.01
G	46295	            RS62 marine group	11	11	  0.01
G	46314	            [Polyangium] brachysporum group	8	8	  0.01
G	46277	            Hylemonella	7	7	  0.01
G	46307	            Thiomonas	7	7	  0.01
G	46274	            Extensimonas	6	6	  0.01
G	46301	            Rubrivivax	5	5	  0.01
G	46267	            Caldimonas	4	4	  0.00
G	46284	            Macromonas	3	3	  0.00
G	46286	            Methylibium	3	3	  0.00
G	46306	            Tepidimonas	3	3	  0.00
G	46264	            Azohydromonas	2	2	  0.00
G	46302	            Schlegelella	2	2	  0.00
G	46313	            Zhizhongheella	2	2	  0.00
G	46280	            Kinneretia	2	2	  0.00
G	46305	            Tepidicella	1	1	  0.00
G	46275	            Giesbergeria	1	1	  0.00
F	46337	          Methylophilaceae	63	1264	  1.57
G	46347	            uncultured	887	887	  1.10
G	46343	            Methylotenera	151	151	  0.19
G	46342	            Methylophilus	87	87	  0.11
G	46345	            OM43 clade	32	32	  0.04
G	46341	            Methylobacillus	17	17	  0.02
G	46346	            UBA6140	14	14	  0.02
G	46338	            Candidatus Methylopumilus	5	5	  0.01
G	46340	            MM2	5	5	  0.01
G	46344	            Methylovorus	2	2	  0.00
G	46339	            MM1	1	1	  0.00
F	46220	          Burkholderiaceae	18	1185	  1.48
G	46229	            Polynucleobacter	867	867	  1.08
G	46221	            Burkholderia-Caballeronia-Paraburkholderia	203	203	  0.25
G	46224	            Cupriavidus	49	49	  0.06
G	46230	            Ralstonia	23	23	  0.03
G	46226	            Limnobacter	12	12	  0.01
G	46225	            Lautropia	11	11	  0.01
G	46222	            Candidatus Glomeribacter	1	1	  0.00
G	46232	            uncultured	1	1	  0.00
F	46189	          Alcaligenaceae	40	704	  0.88
G	46190	            Achromobacter	403	403	  0.50
G	46192	            Alcaligenes	92	92	  0.11
G	46200	            GKS98 freshwater group	44	44	  0.05
G	46194	            Bordetella	21	21	  0.03
G	46206	            Parapusillimonas	19	19	  0.02
G	46212	            Verticiella	17	17	  0.02
G	46202	            Oligella	14	14	  0.02
G	46203	            Orrella	8	8	  0.01
G	46196	            Candidimonas	7	7	  0.01
G	46201	            Kerstersia	7	7	  0.01
G	46197	            Castellaniella	6	6	  0.01
G	46195	            Candidatus Kinetoplastibacterium	4	4	  0.00
G	46199	            Eoetvoesia	4	4	  0.00
G	46213	            uncultured	4	4	  0.00
G	46210	            Pusillimonas	4	4	  0.00
G	46211	            Taylorella	3	3	  0.00
G	46191	            Advenella	2	2	  0.00
G	46207	            Parvibium	2	2	  0.00
G	46205	            Paralcaligenes	2	2	  0.00
G	46204	            Paenalcaligenes	1	1	  0.00
F	46403	          Rhodocyclaceae	23	486	  0.61
G	46424	            Sulfuritalea	132	132	  0.16
G	46428	            Zoogloea	62	62	  0.08
G	46411	            Dechloromonas	61	61	  0.08
G	46425	            Thauera	56	56	  0.07
G	46429	            uncultured	43	43	  0.05
G	46426	            Uliginosibacterium	21	21	  0.03
G	46408	            C39	20	20	  0.02
G	46413	            Denitratisoma	16	16	  0.02
G	46419	            Propionivibrio	11	11	  0.01
G	46409	            Candidatus Accumulibacter	8	8	  0.01
G	46404	            Azoarcus	8	8	  0.01
G	46406	            Azospira	6	6	  0.01
G	46410	            Dechlorobacter	5	5	  0.01
G	46417	            Methyloversatilis	3	3	  0.00
G	46422	            Sterolibacterium	3	3	  0.00
G	46405	            Azonexus	3	3	  0.00
G	46414	            Denitromonas	2	2	  0.00
G	46427	            Z-35	2	2	  0.00
G	46415	            Ferribacterium	1	1	  0.00
F	46375	          Oxalobacteraceae	18	390	  0.49
G	46388	            Massilia	207	207	  0.26
G	46397	            Undibacterium	41	41	  0.05
G	46383	            Duganella	25	25	  0.03
G	46387	            Janthinobacterium	19	19	  0.02
G	46385	            Herbaspirillum	18	18	  0.02
G	46400	            uncultured	16	16	  0.02
G	46389	            Noviherbaspirillum	16	16	  0.02
G	46382	            Collimonas	14	14	  0.02
G	46386	            Herminiimonas	5	5	  0.01
G	46390	            Oxalicibacterium	3	3	  0.00
G	46381	            Candidatus Zinderia	2	2	  0.00
G	46380	            Candidatus Vidania	2	2	  0.00
G	46376	            Actimicrobium	1	1	  0.00
G	46399	            s3t2d-1089	1	1	  0.00
G	46396	            Telluria	1	1	  0.00
G	46395	            Rugamonas	1	1	  0.00
